Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN,Value_OUT,CurrentValue,TxnFee,Historical,Status,ErrCode,Method
0x647373f67f3ce0cf1e68533b4d947f553abfdc9a1648677d855b86b1bd084bdd,23110928,1733011203,01-12-2024 00:00,0xd2efd3076a706234d4f262d939866372d81fc94a,0x4200000000000000000000000000000000000006,,0,0,0,0.013872398,,,,Approve
0xaa7a7c6f330d439fe5c481218181771a189e8f3195bcea70bc2aa1370b119634,23110928,1733011203,01-12-2024 00:00,0x554c800dfe38e309d93caa4135b3e3f6d9c37f50,0x4200000000000000000000000000000000000006,,0.001,0,3.710780615,0.004244162,,,,Deposit
0x1f8370870d18f0765566bbb15e8b239abcfc78f21e8aca597abe82b94b7cdc3d,23110929,1733011205,01-12-2024 00:00,0x49dc4398440a3996215fc01e3a15b62cfb5baaf6,0x4200000000000000000000000000000000000006,,0,0,0,0.008684932,,,,Withdraw
0xddbe4f8986dee5de01f543973117263cb378949ae01c71bd13ea28d8abc9d324,23110930,1733011207,01-12-2024 00:00,0x60f1126aef2b1d930bec837e473acdc154e8f42e,0x4200000000000000000000000000000000000006,,0,0,0,0.006860595,,,,Approve
0x6525180e12f0cd38e8f9fb0ee1a763909571cf3e767cc0b5de2731e81290c35f,23110931,1733011209,01-12-2024 00:00,0xe6a76104d4332ee19b91cb7ef144de931365ea5e,0x4200000000000000000000000000000000000006,,0,0,0,0.008456199,,,,Withdraw
0xd1b32009c0e426edb565081cd3ef231caf27a68b44a1469de360dd6a62812a64,23110933,1733011213,01-12-2024 00:00,0x39bbeddd8741ebc461bcdca90fbd105fc7a7b681,0x4200000000000000000000000000000000000006,,0,0,0,0.004423469,,,,Withdraw
0x5038840d1f1d1f2a41aa582e1add9df054d3e85794a60a9c91457c094f0cefb7,23110934,1733011215,01-12-2024 00:00,0x19bbd7e37481499b3322b75bec4df88a984bee22,0x4200000000000000000000000000000000000006,,0,0,0,0.006852456,,,,Approve
0xbc6925c89cf9e623215bf25dff9fa1b46a6c5ca5c656c89a184d255644cb5308,23110934,1733011215,01-12-2024 00:00,0xd185e84287491ac89c5bbbc6dfcbc86b86586dc8,0x4200000000000000000000000000000000000006,,0,0,0,0.006634729,,,,Approve
0xae692d131bf26588d4e4bb6b94ec8533f69ad88ca50a49a503b5df3343fc7cb4,23110935,1733011217,01-12-2024 00:00,0x44449534080be3e1106902715609f4da13ca0d60,0x4200000000000000000000000000000000000006,,0,0,0,0.004432488,,,,Withdraw
0xdb225fe51bc4aa7b21c5a2376591f93c6c3c1b89b1d0d4f668eb859e4dbdaefb,23110936,1733011219,01-12-2024 00:00,0xaad00d6f45170922dd2ddf7716ac0c29a870c448,0x4200000000000000000000000000000000000006,,0,0,0,0.008703858,,,,Withdraw
0x76c4205082b8c83f59d732d8b398d6918812fa17d6511598eb5339aa893441a0,23110936,1733011219,01-12-2024 00:00,0xc2f5f219b8e429f85dc4d3575fc704f85178bbb4,0x4200000000000000000000000000000000000006,,0,0,0,0.008686316,,,,Withdraw
0x8857caf028312763b24c69a917bd4905901c82ae1181660b78efb4e8724fbc75,23110936,1733011219,01-12-2024 00:00,0x1f6a28e7cc791a89ebfdec86886674f7000d43ea,0x4200000000000000000000000000000000000006,,0,0,0,0.0086897,,,,Withdraw
0x461127105c9793afd2423954087031fe547285d2d440f11394a205808c7695e7,23110936,1733011219,01-12-2024 00:00,0x973a783d79fd380309f3ccfc1f4ef9f21fcf6c0c,0x4200000000000000000000000000000000000006,,0,0,0,0.006686609,,,,Approve
